section,metric,value
scenario,requests,102
scenario,attempts,1046
scenario,n_sats,1
scenario,constraints,5048
scenario,avg_angle,20.545423
scenario,avg_area,509.507894
scenario,avg_price,982.328872
scenario,avg_sun_elevation,52.613716
scenario,avg_cloud_cover,7.545718
scenario,avg_priority,2.495220
solution,acquisitions,124
solution,unique_requests_served,92
solution,total_score,70.2017208413002010
solution,ofv,-70.2017208413002010
solution,total_profit,118407.000000
solution,total_area,73053.021504
solution,avg_cloud_cover,7.323179
solution,cloud_good_lt10,89
solution,cloud_bad_gt30,0
solution,avg_angle,21.920602
solution,angle_good_le10,10
solution,angle_bad_ge30,3
solution,avg_priority,2.508065
solution,priority_1,30
solution,priority_2,26
solution,priority_3,43
solution,priority_4,25
solution,avg_sun_elevation,51.181282
eos,solution_method,DAG
eos,solver_time,4.583
eos,total_time,4.740
