section,metric,value
scenario,requests,95
scenario,attempts,1326
scenario,n_sats,3
scenario,constraints,4387
scenario,avg_angle,20.194388
scenario,avg_area,456.619410
scenario,avg_price,985.200603
scenario,avg_sun_elevation,56.097316
scenario,avg_cloud_cover,1.767444
scenario,avg_priority,2.731523
solution,acquisitions,121
solution,unique_requests_served,90
solution,total_score,65.2775263951734530
solution,ofv,-65.2775263951734530
solution,total_profit,117418.000000
solution,total_area,63764.801579
solution,avg_cloud_cover,2.180096
solution,cloud_good_lt10,121
solution,cloud_bad_gt30,0
solution,avg_angle,21.994484
solution,angle_good_le10,9
solution,angle_bad_ge30,5
solution,avg_priority,2.768595
solution,priority_1,25
solution,priority_2,25
solution,priority_3,24
solution,priority_4,47
solution,avg_sun_elevation,56.249132
eos,solution_method,DAG
eos,solver_time,9.859
eos,total_time,10.042
