section,metric,value
scenario,requests,86
scenario,attempts,860
scenario,constraints,6068
scenario,avg_angle,20.866316
scenario,avg_area,477.731725
scenario,avg_price,1055.847674
scenario,avg_sun_elevation,53.172056
scenario,avg_cloud_cover,15.974726
scenario,avg_priority,2.505814
solution,acquisitions,100
solution,unique_requests_served,74
solution,total_score,54.6569767441860463
solution,ofv,-54.6569767441860463
solution,total_profit,104097.000000
solution,total_area,57492.305671
solution,avg_cloud_cover,16.257740
solution,cloud_good_lt10,13
solution,cloud_bad_gt30,0
solution,avg_angle,23.293722
solution,angle_good_le10,7
solution,angle_bad_ge30,5
solution,avg_priority,2.440000
solution,priority_1,28
solution,priority_2,24
solution,priority_3,24
solution,priority_4,24
solution,avg_sun_elevation,53.710835
eos,solution_method,DAG
eos,solver_time,1.697
eos,total_time,1.786
