section,metric,value
scenario,requests,127
scenario,attempts,1142
scenario,constraints,7051
scenario,avg_angle,22.955345
scenario,avg_area,520.319894
scenario,avg_price,1000.941331
scenario,avg_sun_elevation,57.757468
scenario,avg_cloud_cover,25.764061
scenario,avg_priority,2.422067
solution,acquisitions,92
solution,unique_requests_served,73
solution,total_score,56.9150612959719879
solution,ofv,-56.9150612959719879
solution,total_profit,92447.000000
solution,total_area,49340.771981
solution,avg_cloud_cover,26.633244
solution,cloud_good_lt10,0
solution,cloud_bad_gt30,29
solution,avg_angle,23.334771
solution,angle_good_le10,8
solution,angle_bad_ge30,7
solution,avg_priority,2.336957
solution,priority_1,24
solution,priority_2,26
solution,priority_3,29
solution,priority_4,13
solution,avg_sun_elevation,54.511682
eos,solution_method,DAG
eos,solver_time,3.505
eos,total_time,3.625
