section,metric,value
scenario,requests,213
scenario,attempts,4618
scenario,n_sats,4
scenario,constraints,30327
scenario,avg_angle,20.141903
scenario,avg_area,507.919863
scenario,avg_price,1006.499350
scenario,avg_sun_elevation,56.216111
scenario,avg_cloud_cover,1.751536
scenario,avg_priority,2.399524
solution,acquisitions,264
solution,unique_requests_served,198
solution,total_score,152.8388912949329210
solution,ofv,-152.8388912949329210
solution,total_profit,262463.000000
solution,total_area,151460.817538
solution,avg_cloud_cover,1.706662
solution,cloud_good_lt10,263
solution,cloud_bad_gt30,0
solution,avg_angle,22.974699
solution,angle_good_le10,19
solution,angle_bad_ge30,15
solution,avg_priority,2.386364
solution,priority_1,80
solution,priority_2,57
solution,priority_3,72
solution,priority_4,55
solution,avg_sun_elevation,55.267170
eos,solution_method,DAG
eos,solver_time,467.836
eos,total_time,468.544
