section,metric,value
scenario,requests,270
scenario,attempts,2399
scenario,constraints,34467
scenario,avg_angle,22.946591
scenario,avg_area,501.612574
scenario,avg_price,991.632764
scenario,avg_sun_elevation,58.677551
scenario,avg_cloud_cover,25.760147
scenario,avg_priority,2.614006
solution,acquisitions,174
solution,unique_requests_served,132
solution,total_score,94.9720716965402119
solution,ofv,-94.9720716965402119
solution,total_profit,175294.000000
solution,total_area,98803.262272
solution,avg_cloud_cover,25.576512
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,44
solution,avg_angle,23.314272
solution,angle_good_le10,8
solution,angle_bad_ge30,13
solution,avg_priority,2.689655
solution,priority_1,34
solution,priority_2,43
solution,priority_3,40
solution,priority_4,57
solution,avg_sun_elevation,54.381366
eos,solution_method,DAG
eos,solver_time,23.473
eos,total_time,23.733
