section,metric,value
scenario,requests,42
scenario,attempts,425
scenario,constraints,1570
scenario,avg_angle,21.339849
scenario,avg_area,523.728962
scenario,avg_price,1019.272941
scenario,avg_sun_elevation,52.277443
scenario,avg_cloud_cover,18.337196
scenario,avg_priority,2.769412
solution,acquisitions,53
solution,unique_requests_served,40
solution,total_score,28.0235294117647094
solution,ofv,-28.0235294117647094
solution,total_profit,55598.000000
solution,total_area,30336.408801
solution,avg_cloud_cover,18.980613
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,1
solution,avg_angle,23.592712
solution,angle_good_le10,3
solution,angle_bad_ge30,1
solution,avg_priority,2.905660
solution,priority_1,9
solution,priority_2,10
solution,priority_3,11
solution,priority_4,23
solution,avg_sun_elevation,53.680188
eos,solution_method,DAG
eos,solver_time,0.539
eos,total_time,0.582
