section,metric,value
scenario,requests,98
scenario,attempts,961
scenario,constraints,6424
scenario,avg_angle,21.073806
scenario,avg_area,475.001501
scenario,avg_price,1043.860562
scenario,avg_sun_elevation,53.413705
scenario,avg_cloud_cover,15.869205
scenario,avg_priority,2.544225
solution,acquisitions,114
solution,unique_requests_served,85
solution,total_score,61.9313215400624344
solution,ofv,-61.9313215400624344
solution,total_profit,117097.000000
solution,total_area,65640.356140
solution,avg_cloud_cover,16.451175
solution,cloud_good_lt10,14
solution,cloud_bad_gt30,0
solution,avg_angle,23.151400
solution,angle_good_le10,7
solution,angle_bad_ge30,6
solution,avg_priority,2.447368
solution,priority_1,34
solution,priority_2,25
solution,priority_3,25
solution,priority_4,30
solution,avg_sun_elevation,53.740970
eos,solution_method,DAG
eos,solver_time,2.013
eos,total_time,2.108
