section,metric,value
scenario,requests,19
scenario,attempts,190
scenario,constraints,562
scenario,avg_angle,21.307210
scenario,avg_area,380.229163
scenario,avg_price,1042.142105
scenario,avg_sun_elevation,53.163886
scenario,avg_cloud_cover,1.343335
scenario,avg_priority,2.326316
solution,acquisitions,21
solution,unique_requests_served,19
solution,total_score,11.9736842105263168
solution,ofv,-11.9736842105263168
solution,total_profit,22517.000000
solution,total_area,9084.937464
solution,avg_cloud_cover,1.482374
solution,cloud_good_lt10,21
solution,cloud_bad_gt30,0
solution,avg_angle,23.428031
solution,angle_good_le10,1
solution,angle_bad_ge30,0
solution,avg_priority,2.285714
solution,priority_1,6
solution,priority_2,6
solution,priority_3,6
solution,priority_4,3
solution,avg_sun_elevation,53.560733
eos,solution_method,DAG
eos,solver_time,0.180
eos,total_time,0.202
