section,metric,value
scenario,requests,51
scenario,attempts,1083
scenario,n_sats,4
scenario,constraints,2566
scenario,avg_angle,20.191286
scenario,avg_area,571.254962
scenario,avg_price,1122.086796
scenario,avg_sun_elevation,58.105157
scenario,avg_cloud_cover,17.082626
scenario,avg_priority,2.728532
solution,acquisitions,66
solution,unique_requests_served,50
solution,total_score,36.9095106186519004
solution,ofv,-36.9095106186519004
solution,total_profit,73640.000000
solution,total_area,35893.305841
solution,avg_cloud_cover,16.752331
solution,cloud_good_lt10,7
solution,cloud_bad_gt30,0
solution,avg_angle,22.750191
solution,angle_good_le10,3
solution,angle_bad_ge30,5
solution,avg_priority,2.545455
solution,priority_1,19
solution,priority_2,11
solution,priority_3,17
solution,priority_4,19
solution,avg_sun_elevation,56.265601
eos,solution_method,DAG
eos,solver_time,15.421
eos,total_time,15.564
