section,metric,value
scenario,requests,47
scenario,attempts,467
scenario,constraints,1680
scenario,avg_angle,21.445119
scenario,avg_area,524.971308
scenario,avg_price,1013.798715
scenario,avg_sun_elevation,52.610327
scenario,avg_cloud_cover,18.431655
scenario,avg_priority,2.755889
solution,acquisitions,59
solution,unique_requests_served,45
solution,total_score,31.2826552462526806
solution,ofv,-31.2826552462526806
solution,total_profit,61378.000000
solution,total_area,34008.119109
solution,avg_cloud_cover,17.985308
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,0
solution,avg_angle,23.923466
solution,angle_good_le10,3
solution,angle_bad_ge30,3
solution,avg_priority,2.898305
solution,priority_1,9
solution,priority_2,12
solution,priority_3,14
solution,priority_4,24
solution,avg_sun_elevation,53.668921
eos,solution_method,DAG
eos,solver_time,0.627
eos,total_time,0.683
