section,metric,value
scenario,requests,49
scenario,attempts,844
scenario,n_sats,2
scenario,constraints,2046
scenario,avg_angle,20.347921
scenario,avg_area,432.676321
scenario,avg_price,979.106635
scenario,avg_sun_elevation,54.282600
scenario,avg_cloud_cover,17.145806
scenario,avg_priority,2.687204
solution,acquisitions,65
solution,unique_requests_served,49
solution,total_score,35.2002369668246473
solution,ofv,-35.2002369668246473
solution,total_profit,61633.000000
solution,total_area,31752.219971
solution,avg_cloud_cover,17.250600
solution,cloud_good_lt10,7
solution,cloud_bad_gt30,0
solution,avg_angle,22.951230
solution,angle_good_le10,5
solution,angle_bad_ge30,4
solution,avg_priority,2.738462
solution,priority_1,13
solution,priority_2,16
solution,priority_3,11
solution,priority_4,25
solution,avg_sun_elevation,52.903162
eos,solution_method,DAG
eos,solver_time,4.791
eos,total_time,4.902
