section,metric,value
scenario,requests,97
scenario,attempts,975
scenario,n_sats,1
scenario,constraints,4923
scenario,avg_angle,20.492739
scenario,avg_area,511.683733
scenario,avg_price,984.995897
scenario,avg_sun_elevation,54.278338
scenario,avg_cloud_cover,7.408161
scenario,avg_priority,2.452308
solution,acquisitions,116
solution,unique_requests_served,87
solution,total_score,65.6553846153846337
solution,ofv,-65.6553846153846337
solution,total_profit,112080.000000
solution,total_area,68710.273236
solution,avg_cloud_cover,7.628718
solution,cloud_good_lt10,75
solution,cloud_bad_gt30,0
solution,avg_angle,22.228082
solution,angle_good_le10,9
solution,angle_bad_ge30,4
solution,avg_priority,2.448276
solution,priority_1,31
solution,priority_2,26
solution,priority_3,35
solution,priority_4,24
solution,avg_sun_elevation,52.009065
eos,solution_method,DAG
eos,solver_time,3.831
eos,total_time,3.975
