section,metric,value
scenario,requests,174
scenario,attempts,3118
scenario,n_sats,2
scenario,constraints,12071
scenario,avg_angle,20.698131
scenario,avg_area,486.282651
scenario,avg_price,960.647210
scenario,avg_sun_elevation,57.714499
scenario,avg_cloud_cover,14.783712
scenario,avg_priority,2.501604
solution,acquisitions,211
solution,unique_requests_served,154
solution,total_score,115.3771648492623569
solution,ofv,-115.3771648492623569
solution,total_profit,204612.000000
solution,total_area,112694.133757
solution,avg_cloud_cover,14.723719
solution,cloud_good_lt10,45
solution,cloud_bad_gt30,0
solution,avg_angle,23.169226
solution,angle_good_le10,12
solution,angle_bad_ge30,9
solution,avg_priority,2.492891
solution,priority_1,57
solution,priority_2,53
solution,priority_3,41
solution,priority_4,60
solution,avg_sun_elevation,58.416636
eos,solution_method,DAG
eos,solver_time,137.379
eos,total_time,137.804
