section,metric,value
scenario,requests,223
scenario,attempts,3261
scenario,n_sats,3
scenario,constraints,19586
scenario,avg_angle,20.404494
scenario,avg_area,501.343208
scenario,avg_price,1006.107942
scenario,avg_sun_elevation,54.387143
scenario,avg_cloud_cover,1.557149
scenario,avg_priority,2.460902
solution,acquisitions,273
solution,unique_requests_served,203
solution,total_score,155.7730757436369231
solution,ofv,-155.7730757436369231
solution,total_profit,269858.000000
solution,total_area,158587.511342
solution,avg_cloud_cover,1.582273
solution,cloud_good_lt10,273
solution,cloud_bad_gt30,0
solution,avg_angle,22.640220
solution,angle_good_le10,25
solution,angle_bad_ge30,13
solution,avg_priority,2.428571
solution,priority_1,81
solution,priority_2,54
solution,priority_3,78
solution,priority_4,60
solution,avg_sun_elevation,54.111676
eos,solution_method,DAG
eos,solver_time,101.845
eos,total_time,102.346
