section,metric,value
scenario,requests,206
scenario,attempts,3009
scenario,n_sats,3
scenario,constraints,18826
scenario,avg_angle,20.313773
scenario,avg_area,504.762580
scenario,avg_price,1006.956796
scenario,avg_sun_elevation,55.144468
scenario,avg_cloud_cover,1.737630
scenario,avg_priority,2.416750
solution,acquisitions,250
solution,unique_requests_served,186
solution,total_score,143.9830508474576618
solution,ofv,-143.9830508474576618
solution,total_profit,248303.000000
solution,total_area,145558.894433
solution,avg_cloud_cover,1.612272
solution,cloud_good_lt10,249
solution,cloud_bad_gt30,0
solution,avg_angle,23.213752
solution,angle_good_le10,16
solution,angle_bad_ge30,16
solution,avg_priority,2.380000
solution,priority_1,76
solution,priority_2,54
solution,priority_3,69
solution,priority_4,51
solution,avg_sun_elevation,54.133806
eos,solution_method,DAG
eos,solver_time,86.760
eos,total_time,87.217
