index,ID,stereo,satellite,satellite location,request location,time,area,strips,duration,distance,angle,sun elevation,cloud cover estimate,priority,priority mod,customer type mod,price,waiting time,uncertainty,cloud cover real
197,0064,0,0,"[57.4330389946429, 2.7521999666208967]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:40:10,821.6296518567882,2,2.7287735725883193,353.08036785949366,26.965232303300827,9.552730747710159,10.93710023241439,1,1,1,1314,4,0.12534722222222222,9.934322454636613
198,0064,0,0,"[56.84573151848101, 2.417063074615881]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:40:20,821.6296518567882,2,2.7287735725883193,294.70925346668264,23.008654979816853,9.56044288505675,9.93710023241439,1,1,1,1314,4,0.12569444444444444,8.680155787969946
199,0064,0,0,"[56.25776492906422, 2.0910017964705196]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:40:30,821.6296518567882,2,2.7287735725883193,241.5751055632303,19.19254360436738,9.568139654477708,11.93710023241439,1,1,1,1314,4,0.12604166666666666,11.93710023241439
200,0064,0,0,"[55.669173377338375, 1.7735539204770736]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:40:40,821.6296518567882,2,2.7287735725883193,197.94238887247002,15.919187166534801,9.575822763520327,13.93710023241439,1,1,1,1314,4,0.12638888888888888,14.063489121303279
201,0064,0,0,"[55.079987599154734, 1.4642866901185987]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:40:50,821.6296518567882,2,2.7287735725883193,171.23672370156277,13.860247056265964,9.583490504637313,11.93710023241439,1,1,1,1314,4,0.1267361111111111,10.66973912130328
202,0064,0,0,"[54.49023833036456, 1.1627949897999483]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:00,821.6296518567882,2,2.7287735725883193,169.6513086612881,13.736803052768929,9.591143731602312,9.93710023241439,1,1,1,1314,4,0.12708333333333333,9.555850232414391
203,0064,0,0,"[53.89995289172455, 0.8686988368876882]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:10,821.6296518567882,2,2.7287735725883193,193.8050765306512,15.602818019031714,9.598782444415324,18.93710023241439,1,1,1,1314,4,0.12743055555555555,18.93710023241439
204,0064,0,0,"[53.30915860399138, 0.5816418342453609]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:20,821.6296518567882,2,2.7287735725883193,235.92176399456716,18.775203561094234,9.606406643076351,10.93710023241439,1,1,1,1314,4,0.12777777777777777,11.959322454636613
205,0064,0,0,"[52.71788278792171, 0.30128916920150345]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:30,821.6296518567882,2,2.7287735725883193,288.23248823565075,22.554117909963846,9.614015473811746,10.93710023241439,1,1,1,1314,4,0.128125,9.91210023241439
206,0064,0,0,"[52.12614593408307, 0.02732609943544669]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:40,821.6296518567882,2,2.7287735725883193,346.1469505492043,26.508682116241726,9.621609790395153,15.93710023241439,1,1,1,1314,4,0.1284722222222222,16.707933565747723
207,0064,0,0,"[51.53397194813755, -0.24054352111624633]","[np.float64(55.14931047733401), np.float64(-1.225701160577773)]",2025-12-20 10:41:50,821.6296518567882,2,2.7287735725883193,407.28206290198517,30.40704297847508,9.629189592826576,18.93710023241439,1,1,1,1314,4,0.12881944444444443,18.550641899081057
208,0010,0,0,"[42.61051762771807, -3.6848708355226005]","[np.float64(42.38827091628898), np.float64(-8.49349688780998)]",2025-12-20 10:44:20,558.5442744959782,1,3.1095504602550132,394.9429882998816,29.643430266145813,19.71544007698477,22.06439963817758,1,1,1,1150,4,0.13402777777777777,21.930371860399802
209,0010,0,0,"[42.013507867840175, -3.8844835409030463]","[np.float64(42.38827091628898), np.float64(-8.49349688780998)]",2025-12-20 10:44:30,558.5442744959782,1,3.1095504602550132,381.88861261458885,28.822747552229817,19.72892457795367,22.06439963817758,1,1,1,1150,4,0.134375,20.85502463817758
