ID,acquired,reachable,request location,day,area,stereo,strips,duration,priority,priority mod,customer type mod,price,waiting time
001,0,0,"[np.float64(34.90085176593495), np.float64(135.0445482737043)]",0,94.93671738609251,0,1,4.56386625072492,4,4,3,744,4
002,0,0,"[np.float64(34.61739668939556), np.float64(116.3428955214736)]",0,282.8170627097788,0,1,7.883243892084162,3,3,3,787,11
003,0,0,"[np.float64(15.40784146127796), np.float64(44.19355823951757)]",0,633.053281465075,1,1,4.976998431298405,2,2,2,565,13
004,0,0,"[np.float64(43.75501325900639), np.float64(141.4670105056896)]",0,219.1637481260677,0,1,6.8666787973927725,3,3,3,1367,2
005,0,0,"[np.float64(39.78192937595332), np.float64(116.5988584284825)]",0,647.8891316029219,0,1,6.000916809775091,3,3,3,652,7
006,0,0,"[np.float64(37.4314040693389), np.float64(126.8372393730017)]",0,923.1091386258756,0,2,4.877763423304535,4,4,3,990,14
007,0,0,"[np.float64(5.887890719177084), np.float64(-74.83241822394581)]",0,5.935364699952277,0,1,4.844900434798017,3,3,3,934,2
008,0,0,"[np.float64(15.30683053261572), np.float64(44.23638087245664)]",0,785.9849490101285,0,2,4.051340702372226,2,2,2,1202,11
009,0,0,"[np.float64(52.00787857002857), np.float64(7.13592130906005)]",0,641.677561283025,0,1,2.6418908457923367,2,2,2,717,13
0010,0,0,"[np.float64(0.9817362435928193), np.float64(-77.43743689759033)]",0,47.586129971058455,0,1,6.5688159736239005,2,2,2,928,4
0011,0,0,"[np.float64(-25.42735377732895), np.float64(-57.59639409429197)]",0,790.3769701079751,0,2,7.508568759203234,4,4,3,1001,13
0012,0,0,"[np.float64(15.33542420597953), np.float64(45.43101993676022)]",0,225.29651410199392,0,1,3.307729127960706,3,3,3,1165,9
0013,0,0,"[np.float64(15.42750224499109), np.float64(44.21855778761622)]",0,266.5547201819022,1,1,7.554040963575185,1,1,1,1288,8
